epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6892,1.20604,3.20519,1.7274,0.00392,0.9697,0.23308,0.11329,0.88521,3.12643,1.61192,0.0001429,0.0001429,0.0001429
2,21.4471,0.87687,2.54366,1.51598,0.00365,0.9697,0.26221,0.14543,1.21051,3.11229,1.85707,0.000285236,0.000285236,0.000285236
3,28.3841,0.90539,2.02457,1.51426,1,0.06657,0.3897,0.15767,1.73309,2.85954,2.58538,0.000412009,0.000412009,0.000412009
4,37.0845,0.91285,1.85132,1.50624,0.92136,0.25641,0.43795,0.21644,1.6942,2.72006,2.47237,0.000523221,0.000523221,0.000523221
5,43.0951,0.92654,1.68582,1.50349,0.50557,0.46158,0.54761,0.26264,1.41745,2.32614,2.48216,0.000618871,0.000618871,0.000618871
6,51.9176,0.92907,1.6314,1.49717,0.6553,0.45641,0.50653,0.33224,1.2501,2.23637,2.21166,0.00069896,0.00069896,0.00069896
7,57.9101,0.85882,1.51974,1.45197,0.62901,0.53111,0.64974,0.39057,1.23645,2.05562,2.01507,0.000763486,0.000763486,0.000763486
8,64.6,0.87301,1.42831,1.43905,0.57442,0.31702,0.30088,0.16418,1.49436,3.18595,2.16709,0.000812451,0.000812451,0.000812451
9,73.1501,0.85476,1.40713,1.45414,0.63313,0.57156,0.61068,0.30433,1.57027,2.17954,2.48127,0.000845854,0.000845854,0.000845854
10,78.8672,0.87656,1.38419,1.43561,0.57,0.55926,0.58098,0.38579,1.13444,2.15662,1.88004,0.00079238,0.00079238,0.00079238
11,90.0272,0.76416,1.78374,1.55973,0.75073,0.73855,0.80686,0.56277,1.13857,1.82167,2.08758,0.000721645,0.000721645,0.000721645
12,96.1095,0.74474,1.51329,1.54685,0.80354,0.50765,0.54362,0.34779,1.32949,2.47838,2.29191,0.000650909,0.000650909,0.000650909
13,103.583,0.71602,1.47606,1.52913,0.57472,0.5169,0.57361,0.32592,1.66699,2.24893,2.53267,0.000580174,0.000580174,0.000580174
14,110.87,0.66016,1.30754,1.45179,0.68988,0.66622,0.74834,0.39993,1.67531,2.01175,2.64213,0.000509438,0.000509438,0.000509438
15,116.48,0.62119,1.21638,1.39007,0.58822,0.78963,0.75534,0.41318,1.54008,2.11856,2.47582,0.000438703,0.000438703,0.000438703
16,124.446,0.59848,1.13662,1.40254,0.73068,0.82404,0.78653,0.54324,1.29716,1.60183,2.13325,0.000367967,0.000367967,0.000367967
17,131.001,0.55839,1.07388,1.31543,0.88448,0.77149,0.86164,0.51883,1.29494,1.39963,2.09692,0.000297232,0.000297232,0.000297232
18,136.58,0.54636,1.05535,1.31762,0.79802,0.79523,0.81444,0.55789,1.12674,1.42055,1.8926,0.000226497,0.000226497,0.000226497
19,145.344,0.51006,0.97493,1.27312,0.82527,0.87998,0.85267,0.58987,1.17038,1.41173,1.82917,0.000155761,0.000155761,0.000155761
20,151.199,0.46872,0.9299,1.24916,0.81126,0.87218,0.87563,0.61401,1.07291,1.28141,1.70632,8.50255e-05,8.50255e-05,8.50255e-05
